,0
A2M,1
ABCB1,1
ABCC1,1
ABTB1,1
ACOT12,1
ACP6,1
ACSL6,1
ACTB,1
ADAM11,1
ADCK5,1
ADCY9,1
ADGB,1
ADGRE1,1
ADO,1
ADPRHL2,1
AFF4,1
AGAP7P,1
AGT,1
AK9,1
AKR1C2,1
ALB,1
ALPPL2,1
AMBN,1
AMER1,1
ANKMY1,1
ANKRD30B,1
ANKRD36,1
ANKRD36C,1
ANP32E,1
AP3S1,1
AR,1
ARHGAP35,1
ARMC4,1
ASPSCR1,1
ASXL3,1
ASZ1,1
ATP10A,1
ATP2A1,1
ATP2B3,1
ATP2C2,1
ATP4A,1
ATP8B3,1
ATR,1
ATXN1,1
AXIN1,1
B3GNT6,1
B4GALNT2,1
BAP1,1
BHMT,1
BRINP1,1
BRINP2,1
C10ORF12,1
C11ORF53,1
C17ORF97,1
C1ORF106,1
C1QB,1
C2ORF81,1
C5,1
C6ORF10,1
CACNA1F,1
CACNA1G,1
CACNA1H,1
CASC5,1
CASP5,1
CASP8,1
CBFB,1
CCDC102A,1
CCND1,1
CD1D,1
CD209,1
CDH7,1
CDHR5,1
CDKN1A,1
CDKN2A,1
CEBPA,1
CELA3A,1
CELSR1,1
CELSR3,1
CEP131,1
CEP164,1
CEP192,1
CHD8,1
CHEK2,1
CHRNA4,1
CHST5,1
CIC,1
CLCN2,1
CLCNKA,1
CLDN8,1
CNGA2,1
CNTNAP4,1
COL14A1,1
COL5A1,1
CORO1B,1
CPT1A,1
CRIPAK,1
CRX,1
CRYBA2,1
CSF2RB,1
CTAG2,1
CTCF,1
CTNNA3,1
CYLC1,1
CYP11A1,1
CYP11B1,1
CYSLTR2,1
DBR1,1
DCAF12L2,1
DCAF13,1
DCAF8L1,1
DDX10,1
DENND4B,1
DHX37,1
DICER1,1
DLC1,1
DNAH12,1
DOCK11,1
DOK2,1
DTD2,1
DYNC1I1,1
DYNC2H1,1
E2F4,1
ECT2L,1
EDAR,1
EDNRB,1
EEF1A1,1
EFCAB3,1
EID3,1
EIF1AX,1
ELF3,1
ELL,1
EOMES,1
EP300,1
EPAS1,1
EPHA2,1
ERBB2,1
ESPN,1
ETV5,1
EWSR1,1
EXPH5,1
FAAH2,1
FAM109A,1
FAM129B,1
FAM160B2,1
FAM162B,1
FAM47C,1
FAM65A,1
FAM90A1,1
FBLN1,1
FBXW7,1
FFAR2,1
FGD6,1
FGFR2,1
FGFR3,1
FHOD3,1
FLNA,1
FPGS,1
FSHR,1
GABRA2,1
GABRA6,1
GALNT18,1
GAS6,1
GATA3,1
GCN1,1
GDPD2,1
GLYATL2,1
GNA11,1
GNAQ,1
GNAS,1
GOLGA6L2,1
GPC5,1
GPR101,1
GPR37,1
GPRC6A,1
GPRIN1,1
GPRIN2,1
GRN,1
GTPBP4,1
HECTD1,1
HHIPL1,1
HNRNPA2B1,1
HNRNPK,1
IARS,1
IDH2,1
IDUA,1
IFNW1,1
IGSF3,1
IKZF1,1
IL1R1,1
IL32,1
IMPG2,1
INPP4B,1
IQGAP3,1
IRF2,1
IRF5,1
IRS4,1
ITGA5,1
ITGAE,1
JAK2,1
JMY,1
KANK3,1
KBTBD13,1
KCNA5,1
KCND2,1
KCNJ3,1
KCNV2,1
KHDRBS2,1
KIF13B,1
KIF19,1
KIF26B,1
KIF3C,1
KIT,1
KLHL1,1
KLHL23,1
KLRK1,1
KRAS,1
KRT20,1
KRT38,1
KRTAP1.3,1
KRTAP1.5,1
KRTAP5.5,1
LACTB,1
LAMA3,1
LAMB2,1
LAMC3,1
LATS1,1
LOXHD1,1
LPAR4,1
LRIF1,1
LRP5,1
LRRC37A3,1
LRRC4B,1
LRRIQ1,1
LTBP4,1
LZTS1,1
MAFA,1
MAGEB3,1
MAGEC1,1
MAGI3,1
MAP1B,1
MAP2K7,1
MAP3K1,1
MAPK1,1
MAPK14,1
MAPK4,1
MBD5,1
MCF2,1
MKI67,1
MKL1,1
MMP3,1
MMRN1,1
MORC4,1
MROH8,1
MSH4,1
MSR1,1
MSS51,1
MTA2,1
MTMR14,1
MTMR8,1
MTUS2,1
MUC12,1
MUC5B,1
MYC,1
MYH2,1
MYOM2,1
NARS2,1
NBEA,1
NBPF9,1
NCOR2,1
NEFH,1
NFE2L2,1
NFIB,1
NIN,1
NKD1,1
NKX2.2,1
NLGN4X,1
NLRP6,1
NME8,1
NOTCH1,1
NOTCH3,1
NPIPA5,1
NPIPB15,1
NPIPB5,1
NPIPB6,1
NPM1,1
NPSR1,1
NRAS,1
NRK,1
NUCB1,1
NUDT11,1
OBP2B,1
OCA2,1
OGDHL,1
OPRD1,1
OR10H5,1
OR10J1,1
OR11H1,1
OR11H12,1
OR2J2,1
OR2T2,1
OR2T8,1
OR4C16,1
OR4C5,1
OR4K13,1
OR4M1,1
OR5D16,1
OR5M11,1
OR5T2,1
OR7G2,1
OR8D1,1
OR8J3,1
OTOL1,1
OTOP1,1
OXCT1,1
PABPC1,1
PABPC3,1
