,0
ABCC1,1.0
ABCC4,1.0
ABL1,1.0
ACSL6,1.0
ADAM18,1.0
ADCK5,1.0
ADGB,1.0
ADO,1.0
ADPRHL2,1.0
AKR1C2,1.0
AMD1,1.0
ANKRD36C,1.0
ANO8,1.0
ANXA13,1.0
AP3S1,1.0
ARL6,1.0
BHMT,1.0
BRD7,1.0
C10ORF90,1.0
C17ORF97,1.0
C1ORF106,1.0
C1QB,1.0
C2ORF81,1.0
CBFB,1.0
CCNL1,1.0
CDKN1A,1.0
CEBPA,1.0
CELA3A,1.0
CLDN8,1.0
CLTC,1.0
CORO1B,1.0
CRYBA2,1.0
CYP2A6,1.0
DTD2,1.0
EFCAB3,1.0
EIF1AX,1.0
ESPN,1.0
ETV3,1.0
F13A1,1.0
FAM109A,1.0
FYCO1,1.0
FZD9,1.0
GARS,1.0
GAS6,1.0
GDPD2,1.0
GNA11,1.0
GNAQ,1.0
GOLGA6L2,1.0
GPR87,1.0
HHAT,1.0
IDH2,1.0
KANK3,1.0
KLRK1,1.0
KPNA5,1.0
KRT20,1.0
KRTAP1.5,1.0
KRTAP5.1,1.0
LAMB2,1.0
LCE2A,1.0
LOXHD1,1.0
MAFA,1.0
MAP2K7,1.0
MEPCE,1.0
MLLT3,1.0
MMP11,1.0
MSS51,1.0
MUC12,1.0
NEGR1,1.0
NFIB,1.0
NR1H3,1.0
OR10J1,1.0
OR4C5,1.0
OXCT1,1.0
PABPC1,1.0
PCED1A,1.0
PDK3,1.0
PHF24,1.0
PLA2G2E,1.0
POLE2,1.0
PPARG,1.0
PTPN11,1.0
RAD54L2,1.0
RBM47,1.0
REPIN1,1.0
RGPD8,1.0
RINL,1.0
RIOK1,1.0
RIT1,1.0
RNF149,1.0
RPL14,1.0
RPUSD1,1.0
SAGE1,1.0
SELPLG,1.0
SGSM3,1.0
SLC1A6,1.0
SMCR8,1.0
SOWAHA,1.0
SPON2,1.0
TBX4,1.0
TMEM189,1.0
TMEM247,1.0
TMPRSS2,1.0
TNIP1,1.0
TOB1,1.0
TRPV2,1.0
UNC50,1.0
VCX3B,1.0
VHL,1.0
WDFY4,1.0
WDR81,1.0
WT1,1.0
ZNF114,1.0
ZNF517,1.0
ZNF628,1.0
ZNF787,1.0
C11ORF44.n,1.0
C14ORF144.n,1.0
C16ORF47.p,1.0
C16ORF47.n,1.0
C20ORF187.p,1.0
C4ORF50.n,1.0
C8ORF49.p,1.0
C8ORF49.n,1.0
C9ORF147.p,1.0
C9ORF147.n,1.0
DKFZP434E1119.p,1.0
DUX4.n,1.0
FAM215B.n,1.0
FAM72C.p,1.0
FAM90A26.n-USP17L15.n-USP17L23.n,1.0
FKBP1C.n,1.0
FKSG49.p,1.0
FKSG49.n,1.0
GJE1.n,1.0
GTSCR1.n,1.0
IFNL4.p,1.0
IGHA1.n-IGHA2.n-IGHD.n-IGHE.n-IGHG1.n-IGHG2.n-IGHG3.n-IGHG4.n-IGHJ1.n-IGHJ2.n-IGHJ3.n-IGHJ4.n-IGHJ5.n-IGHJ6.n-IGHM.n,1.0
IGLC1.n-IGLC2.n-IGLC3.n-IGLC7.n-IGLJ1.n-IGLJ2.n-IGLJ3.n-IGLJ4.n-IGLJ5.n-IGLJ6.n-IGLJ7.n,1.0
INAFM2.n,1.0
LMO7DN.p,1.0
LMO7DN.n,1.0
LRRC53.n,1.0
MUC5AC.n,1.0
MUC8.p,1.0
MUC8.n,1.0
MYRFL.p,1.0
NAMPTP1.p,1.0
NAMPTP1.n,1.0
NPIPB15.p,1.0
NPIPB15.n,1.0
NUTM2B.n-NUTM2E.n,1.0
OR51H1.n,1.0
OR51J1.n,1.0
PCAT2.p,1.0
PRR31.p,1.0
PRR31.n,1.0
RBFADN.n,1.0
RNF212B.n,1.0
RNU105B.p,1.0
TDRD15.p,1.0
TMEM210.p,1.0
TMEM78.p,1.0
TRBC2.p-TRBV19.p-TRBV2.p-TRBV27.p-TRBV28.p-TRBV9.p,1.0
TRGC1.p-TRGC2.p-TRGJ1.p-TRGJ2.p-TRGJP.p-TRGJP1.p-TRGJP2.p-TRGV1.p-TRGV10.p-TRGV11.p-TRGV2.p-TRGV3.p-TRGV4.p-TRGV5.p-TRGV8.p-TRGV9.p,1.0
TTLL8.p,1.0
TTLL8.n,1.0
ZDHHC11B.p,1.0
ZNF891.p,1.0
ZNF891.n,1.0
ZRSR1.p,1.0
ZRSR1.n,1.0
