,0
A2M,1
AARS,1
AASDH,1
ABCA9,1
ABCC4,1
ABCC8,1
ABHD10,1
ABL1,1
ABTB1,1
ACE,1
ACOT12,1
ACSL6,1
ACSM2B,1
ACTB,1
ACVR1B,1
ACVR2A,1
ADAM18,1
ADAM29,1
ADAMTSL3,1
ADCK5,1
ADCY9,1
ADGRB1,1
ADO,1
ADPRHL2,1
AGAP1,1
AGT,1
AHCTF1,1
AK7,1
AKR1C2,1
ALPK2,1
AMD1,1
AMER1,1
ANAPC1,1
ANKRD36,1
ANKRD36C,1
ANXA13,1
AP3S1,1
APBB1,1
ARID1A,1
ARL6,1
ARMC4,1
ATP10A,1
ATP4A,1
ATP8B2,1
AXDND1,1
AXIN1,1
B4GALNT2,1
BAZ1B,1
BCL6,1
BHMT,1
BMX,1
BPTF,1
BRCA1,1
BRINP2,1
C10ORF12,1
C11ORF53,1
C1QB,1
C2ORF16,1
C3,1
C4BPA,1
C5,1
CACHD1,1
CAMSAP3,1
CBFB,1
CCDC110,1
CCKBR,1
CCND1,1
CD1B,1
CD1D,1
CDH10,1
CDKN1A,1
CEACAM7,1
CEBPA,1
CELA3A,1
CELSR3,1
CEP131,1
CFAP44,1
CHD1,1
CHRNA4,1
CHST5,1
CIT,1
CLCA4,1
CLCNKB,1
CLDN8,1
CNGA3,1
CNOT1,1
COL3A1,1
CORO1B,1
CPT1A,1
CRX,1
CRYBA2,1
CTCF,1
CTNNA1,1
CYLC1,1
CYP11A1,1
DAPK1,1
DCAF13,1
DDC,1
DDX10,1
DHX30,1
DLL4,1
DNAH2,1
DNASE2,1
DNER,1
DNMT1,1
DNMT3A,1
DOCK7,1
DPH2,1
DYNC1I1,1
DYNC2H1,1
E2F4,1
E2F8,1
EDAR,1
EID3,1
EIF1AX,1
EIF3A,1
ELF3,1
ELF4,1
ELL,1
ENO1,1
EOMES,1
EPAS1,1
EPHA3,1
EPHA7,1
ERBB2,1
ETV3,1
ETV4,1
EVC2,1
EWSR1,1
EZH1,1
F13B,1
F2,1
FAAH2,1
FAM162B,1
FAM65B,1
FBLN1,1
FBXW7,1
FCN1,1
FCRL4,1
FFAR2,1
FGB,1
FGD6,1
FGFR3,1
FLT3,1
FMO4,1
FZD9,1
GAD1,1
GALNT18,1
GBF1,1
GDPD2,1
GLYATL2,1
GNA11,1
GNAQ,1
GOLGA6L2,1
GOLGB1,1
GPR101,1
GPR87,1
GRIA1,1
GRIN2A,1
GTPBP4,1
HAS2,1
HEPACAM2,1
HHAT,1
HNF1A,1
HNRNPA2B1,1
HNRNPK,1
HRAS,1
HRC,1
HSD17B11,1
HSPA1L,1
IDH1,1
IDH2,1
IL16,1
IL1R1,1
IL1RAPL1,1
IL32,1
INPP4B,1
ITGA5,1
ITGA8,1
ITGAD,1
JMY,1
KAT6B,1
KCNH5,1
KCNJ3,1
KCNU1,1
KCNV2,1
KDM5A,1
KDM6A,1
KIF16B,1
KIF3C,1
KIT,1
KLHL23,1
KRAS,1
KRT38,1
KRTAP1.5,1
LAMB1,1
LAMB2,1
LATS1,1
LCE2A,1
LHCGR,1
LMTK2,1
LPAR4,1
LRIF1,1
LRP5,1
LRRC37A3,1
LRRC66,1
LTBP2,1
MAGEB3,1
MAP1A,1
MAP2K7,1
MAPK14,1
MAPK4,1
MBD5,1
MECOM,1
MET,1
MKL1,1
MLLT4,1
MMP2,1
MMP3,1
MPP2,1
MSH4,1
MSS51,1
MTA2,1
MTMR14,1
MTOR,1
MUC12,1
MYC,1
MYH1,1
N4BP2,1
NAA25,1
NAALAD2,1
NARS2,1
NBEA,1
NBN,1
NBPF15,1
NCOA3,1
NCR1,1
NEGR1,1
NF2,1
NFE2L2,1
NFE2L3,1
NFIB,1
NKX2.2,1
NLRP6,1
NME8,1
NMUR2,1
NPIPA5,1
NPIPB15,1
NPIPB6,1
NPM1,1
NR1H3,1
NRAS,1
NUCB1,1
NUP188,1
OCA2,1
OR11H12,1
OR2T8,1
OR4C5,1
OR4D2,1
OR4D5,1
OR4K13,1
OR4M1,1
OR5T1,1
OR5T2,1
OR5T3,1
OR6C76,1
OR7G2,1
OR8D1,1
OR8J3,1
OR8K3,1
OTOL1,1
OTUD4,1
PARD6B,1
PARK2,1
PASD1,1
PAX5,1
PCDHA1,1
PCDHA4,1
PCDHGB3,1
PCED1A,1
PCF11,1
PCSK7,1
PDS5A,1
PGM2,1
PGM5,1
PIM1,1
PLA2G2E,1
PLCZ1,1
PLXNB1,1
POLE2,1
PPARG,1
PPM1D,1
PPP1R26,1
PPP2R1A,1
PPP4C,1
PRC1,1
